      0.0832890      2.7286000      0.1665800      0.0080171      0.0000000     93.7430000
      0.2484600      2.7069000      0.1637600      0.0081551      0.0000000    101.1910000
      0.4094200      2.6640000      0.1581700      0.0084428      0.0000000    108.6386000
      0.5634700      2.6007000      0.1499200      0.0089074      0.0000000    116.0864000
      0.7080000      2.5178000      0.1391500      0.0095974      0.0000000    123.5341000
      0.8405800      2.4170000      0.1260000      0.0105990      0.0000000    130.9933000
      0.9589200      2.2997000      0.0106870      0.1249600    138.4682000      0.0000000
      1.0610000      2.1681000      0.0096593      0.1382500    145.9158000      0.0000000
      1.1452000      2.0244000      0.0089499      0.1492100    153.3635000      0.0000000
      1.2095000      1.8708000      0.0084485      0.1580000    161.2467000      0.0000000
      1.2454000      1.7090000      0.0080482      0.1656600    173.7235000      0.0000000
      1.2439000      1.5435000      0.0080660      0.1652800   -172.6638000      0.0000000
      1.1907000      1.3902000      0.0093357      0.1413500   -148.9728000      0.0000000
      1.0750000      1.2814000      0.1463300      0.0090182      0.0000000   -117.4900000
      0.9185700      1.2402000      0.1666200      0.0080058      0.0000000    -92.1899000
      0.7517300      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
      0.5846800      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
      0.4176300      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
      0.2505800      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
      0.0835260      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.0835260      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.2505800      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.4176300      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.5846800      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.7517300      1.2370000      0.1670500      0.0080000      0.0000000     90.0000000
     -0.9185700      1.2402000      0.1666200      0.0080058      0.0000000    -87.8101000
     -1.0750000      1.2814000      0.1463300      0.0090182      0.0000000    -62.5100000
     -1.1907000      1.3902000      0.0093357      0.1413500    -31.0272000      0.0000000
     -1.2439000      1.5435000      0.0080660      0.1652800     -7.3362000      0.0000000
     -1.2454000      1.7090000      0.0080482      0.1656600      6.2765000      0.0000000
     -1.2095000      1.8708000      0.0084485      0.1580000     18.7533000      0.0000000
     -1.1452000      2.0244000      0.0089499      0.1492100     26.6365000      0.0000000
     -1.0610000      2.1681000      0.0096593      0.1382500     34.0842000      0.0000000
     -0.9589200      2.2997000      0.0106870      0.1249600     41.5318000      0.0000000
     -0.8405800      2.4170000      0.1260000      0.0105990      0.0000000     49.0067000
     -0.7080000      2.5178000      0.1391500      0.0095974      0.0000000     56.4659000
     -0.5634700      2.6007000      0.1499200      0.0089074      0.0000000     63.9136000
     -0.4094200      2.6640000      0.1581700      0.0084428      0.0000000     71.3614000
     -0.2484600      2.7069000      0.1637600      0.0081551      0.0000000     78.8090000
     -0.0832890      2.7286000      0.1665800      0.0080171      0.0000000     86.2570000

     
      0.0892160      2.8440000      0.1784300      0.0080178      0.0000000     93.8216000
      0.2660800      2.8204000      0.1753000      0.0081609      0.0000000    101.3979000
